"article","nom","genre","unite"
"L50","la ","L50","f",""
"mobilite","","mobilite","",""
"niveau.a.et.b.MAY","","niveau.a.et.b.MAY","",""
"niveau.a.et.b.MED","","niveau.a.et.b.MED","",""
"niveau.a.et.b.NC","","niveau.a.et.b.NC","",""
"nocturne","","nocturne","",""
"ObsBA","","ObsBA","",""
"ObsBO","","ObsBO","",""
"ObsCB","","ObsCB","",""
"ObsCR","","ObsCR","",""
"ObsMAY","","ObsMAY","",""
"ObsNC","","ObsNC","",""
"ObsRUN","","ObsRUN","",""
"ObsSTM","","ObsSTM","",""
"Ordre","","Ordre","",""
"Phylum","le ","Phylum","m",""
"poids.moyen.gros","le ","poids moyen des gros","m",""
"poids.moyen.moyens","le ","poids moyen des moyens","m",""
"poids.moyen.petits","le ","poids moyen des petits","m",""
"position.col.eau","la ","position dans la colone d'eau","f",""
"regim.alim","le","regime alimentaire","m",""
"stat.IUCN","le ","statut IUCN","m",""
"strategie.demo","la ","strategie demographique","f",""
"taille_max_moyens","la ","taille max des moyens","f","cm"
"taille_max_petits","la ","taille max des petits","f","cm"
"taillemax","la ","taille maximale","f","cm"
"TaxoCode","","TaxoCode","",""
"territorial","","territorial","",""
"Type.ponte","le ","type de ponte","m",""
"richesse_specifique","la ","richesse specifique","f",""
"simpson","l'","indice de Simpson","m",""
"l.simpson","le ","l de Simpson","m",""
"pielou","l'","indice Pielou","m",""
"hill","l'","indice de Hill","m",""
"RS_relative","la ","richesse spécifique relative","f",""
"Delta","le ","Delta","m",""
"DeltaEtoile","le ","Delta*","m",""
"LambdaPlus","le ","Lambda+","m",""
"DeltaPlus","le ","Delta+","m",""
"SDeltaPlus","le ","SDelta+","m",""
"classe_taille","la ","classe de taille","f",""
"colonie","le","nombre de colonies","m",""
"recouvrement","le ","recouvrement","m","%"
"taille_moyenne","la ","taille moyenne","f","cm"
"CategB_general","la ","CategB_general","f",""
"CategB_groupe","la ","CategB_groupe","f",""
"taille.moy.colonies","la ","taille moyenne des colonies","f","cm"
"RS.relative.site","la ","richesse spécifique relative (/ espèces du site)","f","'%'"
"RS.relative.site.phylum","la ","richesse spécifique relative (/ esp. du site et phylum)","f","'%'"
"RS.relative.donnees","la ","richesse spécifique relative (/ esp. des données)","f","'%'"
"RS.relative.region","la ","richesse spécifique relative (/ esp. de la région)","f","'%'"
"RS.relative.region.phylum","la ","richesse spécifique relative (/ esp. de la région et du phylum)","f","'%'"
